,Country,Year,tuberculosis_incidence
2571,Philippines,2007,465000
2572,Philippines,2006,466000
2573,Philippines,2005,466000
2574,Philippines,2004,465000
2575,Philippines,2003,464000
2576,Philippines,2002,463000
2577,Philippines,2001,462000
2578,Philippines,2000,460000
2579,Poland,2018,6000
2580,Poland,2017,6400
2581,Poland,2016,7100
2582,Poland,2015,7200
2583,Poland,2014,7500
2584,Poland,2013,8100
2585,Poland,2012,8100
2586,Poland,2011,9100
2587,Poland,2010,8100
2588,Poland,2009,8800
2589,Poland,2008,8500
2590,Poland,2007,9200
2591,Poland,2006,9200
2592,Poland,2005,9400
2593,Poland,2004,10000
2594,Poland,2003,12000
2595,Poland,2002,12000
2596,Poland,2001,12000
2597,Poland,2000,13000
2598,Portugal,2018,2400
2599,Portugal,2017,2000
2600,Portugal,2016,2100
2601,Portugal,2015,2400
2602,Portugal,2014,2500
2603,Portugal,2013,2700
2604,Portugal,2012,2900
2605,Portugal,2011,2900
2606,Portugal,2010,3000
2607,Portugal,2009,3100
2608,Portugal,2008,3200
2609,Portugal,2007,3400
2610,Portugal,2006,3700
2611,Portugal,2005,3800
2612,Portugal,2004,4200
2613,Portugal,2003,4600
2614,Portugal,2002,5000
2615,Portugal,2001,5000
2616,Portugal,2000,4900
2617,Qatar,2018,860
2618,Qatar,2017,690
2619,Qatar,2016,580
2620,Qatar,2015,610
2621,Qatar,2014,530
2622,Qatar,2013,690
2623,Qatar,2012,840
2624,Qatar,2011,640
2625,Qatar,2010,670
2626,Qatar,2009,710
2627,Qatar,2008,650
2628,Qatar,2007,460
2629,Qatar,2006,390
2630,Qatar,2005,370
2631,Qatar,2004,310
2632,Qatar,2003,320
2633,Qatar,2002,320
2634,Qatar,2001,330
2635,Qatar,2000,320
2636,Republic,2018,34000
2637,Republic,2017,36000
2638,Republic,2016,39000
2639,Republic,2015,40000
2640,Republic,2014,43000
2641,Republic,2013,44000
2642,Republic,2012,47000
2643,Republic,2011,49000
2644,Republic,2010,47000
2645,Republic,2009,46000
2646,Republic,2008,43000
2647,Republic,2007,45000
2648,Republic,2006,45000
2649,Republic,2005,46000
2650,Republic,2004,37000
2651,Republic,2003,39000
2652,Republic,2002,37000
2653,Republic,2001,40000
2654,Republic,2000,23000
2655,Republic,2018,3500
2656,Republic,2017,3900
2657,Republic,2016,4100
2658,Republic,2015,4100
2659,Republic,2014,4700
2660,Republic,2013,5200
2661,Republic,2012,5100
2662,Republic,2011,4900
2663,Republic,2010,4800
2664,Republic,2009,5100
2665,Republic,2008,5100
2666,Republic,2007,5600
2667,Republic,2006,5700
2668,Republic,2005,5900
2669,Republic,2004,5500
2670,Republic,2003,4900
2671,Republic,2002,4300
2672,Republic,2001,4100
2673,Republic,2000,3400
2674,Romania,2018,13000
2675,Romania,2017,14000
2676,Romania,2016,15000
2677,Romania,2015,16000
2678,Romania,2014,17000
2679,Romania,2013,18000
2680,Romania,2012,19000
2681,Romania,2011,20000
2682,Romania,2010,21000
2683,Romania,2009,24000
2684,Romania,2008,25000
2685,Romania,2007,26000
2686,Romania,2006,28000
2687,Romania,2005,30000
2688,Romania,2004,33000
2689,Romania,2003,34000
2690,Romania,2002,34000
2691,Romania,2001,33000
2692,Romania,2000,32000
2693,Russian,2018,79000
2694,Russian,2017,85000
2695,Russian,2016,91000
2696,Russian,2015,97000
2697,Russian,2014,101000
2698,Russian,2013,105000
2699,Russian,2012,109000
2700,Russian,2011,116000
2701,Russian,2010,123000
2702,Russian,2009,128000
2703,Russian,2008,129000
2704,Russian,2007,128000
2705,Russian,2006,126000
2706,Russian,2005,125000
2707,Russian,2004,125000
2708,Russian,2003,127000
2709,Russian,2002,130000
2710,Russian,2001,134000
2711,Russian,2000,139000
2712,Rwanda,2018,7300
2713,Rwanda,2017,7000
2714,Rwanda,2016,7200
2715,Rwanda,2015,6900
2716,Rwanda,2014,7200
2717,Rwanda,2013,7100
2718,Rwanda,2012,7600
2719,Rwanda,2011,8300
2720,Rwanda,2010,8400
2721,Rwanda,2009,9300
2722,Rwanda,2008,9600
2723,Rwanda,2007,9800
2724,Rwanda,2006,10000
2725,Rwanda,2005,9000
2726,Rwanda,2004,8100
2727,Rwanda,2003,8500
2728,Rwanda,2002,7500
2729,Rwanda,2001,6800
2730,Rwanda,2000,7600
2731,Saint,2018,0
2732,Saint,2017,1
2733,Saint,2016,0
2734,Saint,2015,2
2735,Saint,2014,8
2736,Saint,2013,0
2737,Saint,2012,2
2738,Saint,2011,1
2739,Saint,2010,2
2740,Saint,2009,5
2741,Saint,2008,6
2742,Saint,2007,5
2743,Saint,2006,1
2744,Saint,2005,0
2745,Saint,2004,2
2746,Saint,2003,1
2747,Saint,2002,3
2748,Saint,2001,2
2749,Saint,2000,0
2750,Saint,2018,6
2751,Saint,2017,13
2752,Saint,2016,3
2753,Saint,2015,16
2754,Saint,2014,7
2755,Saint,2013,10
2756,Saint,2012,13
2757,Saint,2011,8
2758,Saint,2010,10
2759,Saint,2009,12
2760,Saint,2008,24
2761,Saint,2007,22
2762,Saint,2006,17
2763,Saint,2005,16
2764,Saint,2004,17
2765,Saint,2003,17
2766,Saint,2002,20
2767,Saint,2001,17
2768,Saint,2000,10
2769,Saint,2018,7
2770,Saint,2017,2
2771,Saint,2016,7
2772,Saint,2015,8
2773,Saint,2014,6
2774,Saint,2013,3
2775,Saint,2012,34
2776,Saint,2011,20
2777,Saint,2010,17
2778,Saint,2009,10
2779,Saint,2008,14
2780,Saint,2007,14
2781,Saint,2006,15
2782,Saint,2005,8
2783,Saint,2004,9
2784,Saint,2003,16
2785,Saint,2002,12
2786,Saint,2001,12
2787,Saint,2000,18
2788,Samoa,2018,13
2789,Samoa,2017,35
2790,Samoa,2016,15
2791,Samoa,2015,22
2792,Samoa,2014,26
2793,Samoa,2013,25
2794,Samoa,2012,25
2795,Samoa,2011,23
2796,Samoa,2010,16
2797,Samoa,2009,18
2798,Samoa,2008,14
2799,Samoa,2007,24
2800,Samoa,2006,29
2801,Samoa,2005,28
2802,Samoa,2004,39
2803,Samoa,2003,31
2804,Samoa,2002,36
2805,Samoa,2001,25
2806,Samoa,2000,49
2807,San,2018,0
2808,San,2017,0
2809,San,2016,0
2810,San,2015,0
2811,San,2014,0
2812,San,2013,0
2813,San,2012,0
2814,San,2011,0
2815,San,2010,0
2816,San,2009,0
2817,San,2008,0
2818,San,2007,0
2819,San,2006,0
2820,San,2005,0
2821,San,2004,0
2822,San,2003,1
2823,San,2002,1
2824,San,2001,0
2825,San,2000,1
2826,Sao,2018,260
2827,Sao,2017,240
2828,Sao,2016,330
2829,Sao,2015,310
2830,Sao,2014,280
2831,Sao,2013,260
2832,Sao,2012,200
2833,Sao,2011,240
2834,Sao,2010,210
2835,Sao,2009,140
2836,Sao,2008,120
2837,Sao,2007,160
2838,Sao,2006,270
2839,Sao,2005,240
2840,Sao,2004,210
2841,Sao,2003,190
2842,Sao,2002,160
2843,Sao,2001,170
2844,Sao,2000,170
2845,Saudi,2018,3400
2846,Saudi,2017,3300
2847,Saudi,2016,3300
2848,Saudi,2015,3800
2849,Saudi,2014,3700
2850,Saudi,2013,4000
2851,Saudi,2012,4200
2852,Saudi,2011,4500
2853,Saudi,2010,5100
2854,Saudi,2009,4600
2855,Saudi,2008,4600
2856,Saudi,2007,4500
2857,Saudi,2006,4300
2858,Saudi,2005,4100
2859,Saudi,2004,3800
2860,Saudi,2003,3800
2861,Saudi,2002,3900
2862,Saudi,2001,3800
2863,Saudi,2000,4000
2864,Senegal,2018,19000
2865,Senegal,2017,18000
2866,Senegal,2016,18000
2867,Senegal,2015,18000
2868,Senegal,2014,18000
2869,Senegal,2013,17000
2870,Senegal,2012,17000
2871,Senegal,2011,17000
2872,Senegal,2010,17000
2873,Senegal,2009,17000
2874,Senegal,2008,16000
2875,Senegal,2007,16000
2876,Senegal,2006,16000
2877,Senegal,2005,16000
2878,Senegal,2004,16000
2879,Senegal,2003,15000
2880,Senegal,2002,15000
2881,Senegal,2001,15000
2882,Senegal,2000,15000
2883,Serbia,2018,1500
2884,Serbia,2017,1700
2885,Serbia,2016,1700
2886,Serbia,2015,1900
2887,Serbia,2014,2100
2888,Serbia,2013,2400
2889,Serbia,2012,2200
2890,Serbia,2011,2500
2891,Serbia,2010,2700
2892,Serbia,2009,2900
2893,Serbia,2008,3100
2894,Serbia,2007,3300
2895,Serbia,2006,3600
2896,Serbia,2005,3700
2897,Seychelles,2018,17
2898,Seychelles,2017,18
2899,Seychelles,2016,14
2900,Seychelles,2015,9
2901,Seychelles,2014,15
2902,Seychelles,2013,28
2903,Seychelles,2012,23
2904,Seychelles,2011,24
2905,Seychelles,2010,20
2906,Seychelles,2009,17
2907,Seychelles,2008,7
2908,Seychelles,2007,20
2909,Seychelles,2006,21
2910,Seychelles,2005,16
2911,Seychelles,2004,21
2912,Seychelles,2003,12
2913,Seychelles,2002,33
2914,Seychelles,2001,22
2915,Seychelles,2000,23
2916,Sierra,2018,23000
2917,Sierra,2017,23000
2918,Sierra,2016,22000
2919,Sierra,2015,22000
2920,Sierra,2014,22000
2921,Sierra,2013,21000
2922,Sierra,2012,21000
2923,Sierra,2011,21000
2924,Sierra,2010,20000
2925,Sierra,2009,20000
2926,Sierra,2008,20000
2927,Sierra,2007,19000
2928,Sierra,2006,18000
2929,Sierra,2005,18000
2930,Sierra,2004,17000
2931,Sierra,2003,16000
2932,Sierra,2002,15000
2933,Sierra,2001,15000
2934,Sierra,2000,14000
2935,Singapore,2018,2700
2936,Singapore,2017,2700
2937,Singapore,2016,2800
2938,Singapore,2015,2500
2939,Singapore,2014,2500
2940,Singapore,2013,2500
2941,Singapore,2012,2600
2942,Singapore,2011,1900
2943,Singapore,2010,1800
2944,Singapore,2009,1800
2945,Singapore,2008,1800
2946,Singapore,2007,1600
2947,Singapore,2006,1500
2948,Singapore,2005,1600
2949,Singapore,2004,1600
2950,Singapore,2003,1800
2951,Singapore,2002,1700
2952,Singapore,2001,1800
2953,Singapore,2000,2000
2954,Slovakia,2018,310
2955,Slovakia,2017,260
2956,Slovakia,2016,320
2957,Slovakia,2015,350
2958,Slovakia,2014,370
2959,Slovakia,2013,460
2960,Slovakia,2012,370
2961,Slovakia,2011,430
2962,Slovakia,2010,470
2963,Slovakia,2009,520
2964,Slovakia,2008,670
2965,Slovakia,2007,720
2966,Slovakia,2006,770
2967,Slovakia,2005,820
2968,Slovakia,2004,760
2969,Slovakia,2003,1100
2970,Slovakia,2002,1100
2971,Slovakia,2001,1100
2972,Slovakia,2000,1200
2973,Slovenia,2018,110
2974,Slovenia,2017,130
2975,Slovenia,2016,140
2976,Slovenia,2015,150
2977,Slovenia,2014,160
2978,Slovenia,2013,160
2979,Slovenia,2012,150
2980,Slovenia,2011,210
2981,Slovenia,2010,190
2982,Slovenia,2009,210
2983,Slovenia,2008,240
2984,Slovenia,2007,250
2985,Slovenia,2006,240
2986,Slovenia,2005,310
2987,Slovenia,2004,290
2988,Slovenia,2003,330
2989,Slovenia,2002,390
2990,Slovenia,2001,410
2991,Slovenia,2000,420
2992,Solomon,2018,480
2993,Solomon,2017,470
2994,Solomon,2016,500
2995,Solomon,2015,520
2996,Solomon,2014,430
2997,Solomon,2013,450
2998,Solomon,2012,450
2999,Solomon,2011,500
3000,Solomon,2010,420
3001,Solomon,2009,460
3002,Solomon,2008,480
3003,Solomon,2007,500
3004,Solomon,2006,460
3005,Solomon,2005,500
3006,Solomon,2004,430
3007,Solomon,2003,370
3008,Solomon,2002,320
3009,Solomon,2001,370
3010,Solomon,2000,380
3011,Somalia,2018,39000
3012,Somalia,2017,39000
3013,Somalia,2016,38000
3014,Somalia,2015,38000
3015,Somalia,2014,37000
3016,Somalia,2013,37000
3017,Somalia,2012,36000
3018,Somalia,2011,35000
3019,Somalia,2010,34000
3020,Somalia,2009,33000
3021,Somalia,2008,33000
3022,Somalia,2007,32000
3023,Somalia,2006,31000
3024,Somalia,2005,30000
3025,Somalia,2004,29000
3026,Somalia,2003,28000
3027,Somalia,2002,27000
3028,Somalia,2001,26000
3029,Somalia,2000,25000
3030,South,2018,301000
3031,South,2017,323000
3032,South,2016,347000
3033,South,2015,420000
3034,South,2014,447000
3035,South,2013,456000
3036,South,2012,471000
3037,South,2011,479000
3038,South,2010,485000
3039,South,2009,488000
3040,South,2008,486000
3041,South,2007,480000
3042,South,2006,467000
3043,South,2005,446000
3044,South,2004,418000
3045,South,2003,383000
3046,South,2002,344000
3047,South,2001,303000
3048,South,2000,263000
3049,South,2018,16000
3050,South,2017,16000
3051,South,2016,16000
3052,South,2015,16000
3053,South,2014,15000
3054,South,2013,15000
3055,South,2012,15000
3056,South,2011,14000
3057,Spain,2018,4400
3058,Spain,2017,5000
3059,Spain,2016,5400
3060,Spain,2015,4600
3061,Spain,2014,5500
3062,Spain,2013,6000
3063,Spain,2012,6500
3064,Spain,2011,7400
3065,Spain,2010,7900
3066,Spain,2009,8300
3067,Spain,2008,8900
3068,Spain,2007,8400
3069,Spain,2006,9000
3070,Spain,2005,8400
3071,Spain,2004,6900
3072,Spain,2003,11000
3073,Spain,2002,8400
3074,Spain,2001,7900
3075,Spain,2000,9200
3076,Sri,2018,14000
3077,Sri,2017,14000
3078,Sri,2016,14000
3079,Sri,2015,14000
3080,Sri,2014,14000
3081,Sri,2013,14000
3082,Sri,2012,14000
3083,Sri,2011,14000
3084,Sri,2010,13000
3085,Sri,2009,13000
3086,Sri,2008,13000
3087,Sri,2007,13000
3088,Sri,2006,13000
3089,Sri,2005,13000
3090,Sri,2004,13000
3091,Sri,2003,13000
3092,Sri,2002,13000
3093,Sri,2001,13000
3094,Sri,2000,12000
3095,Sudan,2018,30000
3096,Sudan,2017,31000
3097,Sudan,2016,33000
3098,Sudan,2015,34000
3099,Sudan,2014,36000
3100,Sudan,2013,37000
3101,Sudan,2012,37000
3102,Sudan,2011,37000
3103,Suriname,2018,220
3104,Suriname,2017,160
3105,Suriname,2016,140
3106,Suriname,2015,180
3107,Suriname,2014,180
3108,Suriname,2013,180
3109,Suriname,2012,160
3110,Suriname,2011,160
3111,Suriname,2010,240
3112,Suriname,2009,220
3113,Suriname,2008,140
3114,Suriname,2007,160
3115,Suriname,2006,160
3116,Suriname,2005,150
3117,Suriname,2004,120
3118,Suriname,2003,130
3119,Suriname,2002,120
3120,Suriname,2001,94
3121,Suriname,2000,110
3122,Sweden,2018,550
3123,Sweden,2017,560
3124,Sweden,2016,810
3125,Sweden,2015,900
3126,Sweden,2014,730
3127,Sweden,2013,700
3128,Sweden,2012,680
3129,Sweden,2011,620
3130,Sweden,2010,710
3131,Sweden,2009,660
3132,Sweden,2008,590
3133,Sweden,2007,530
3134,Sweden,2006,560
3135,Sweden,2005,620
3136,Sweden,2004,490
3137,Sweden,2003,460
3138,Sweden,2002,430
3139,Sweden,2001,450
3140,Sweden,2000,480
3141,Switzerland,2018,540
3142,Switzerland,2017,610
3143,Switzerland,2016,660
3144,Switzerland,2015,610
3145,Switzerland,2014,490
3146,Switzerland,2013,540
3147,Switzerland,2012,480
3148,Switzerland,2011,600
3149,Switzerland,2010,580
3150,Switzerland,2009,580
3151,Switzerland,2008,530
3152,Switzerland,2007,480
3153,Switzerland,2006,540
3154,Switzerland,2005,590
3155,Switzerland,2004,630
3156,Switzerland,2003,660
3157,Switzerland,2002,680
3158,Switzerland,2001,630
3159,Switzerland,2000,660
3160,Syrian,2018,3300
3161,Syrian,2017,3400
3162,Syrian,2016,3800
3163,Syrian,2015,3600
3164,Syrian,2014,4400
3165,Syrian,2013,3400
3166,Syrian,2012,3800
3167,Syrian,2011,4500
3168,Syrian,2010,4600
3169,Syrian,2009,5100
3170,Syrian,2008,4700
3171,Syrian,2007,5300
3172,Syrian,2006,4900
3173,Syrian,2005,5400
3174,Syrian,2004,5700
3175,Syrian,2003,6000
3176,Syrian,2002,6000
3177,Syrian,2001,6200
3178,Syrian,2000,6400
3179,Tajikistan,2018,7600
3180,Tajikistan,2017,7500
3181,Tajikistan,2016,7400
3182,Tajikistan,2015,7300
3183,Tajikistan,2014,7500
3184,Tajikistan,2013,8000
3185,Tajikistan,2012,8500
3186,Tajikistan,2011,9000
3187,Tajikistan,2010,9600
3188,Tajikistan,2009,10000
3189,Tajikistan,2008,11000
3190,Tajikistan,2007,12000
3191,Tajikistan,2006,13000
3192,Tajikistan,2005,13000
3193,Tajikistan,2004,14000
3194,Tajikistan,2003,14000
3195,Tajikistan,2002,14000
3196,Tajikistan,2001,14000
3197,Tajikistan,2000,14000
3198,Thailand,2018,106000
3199,Thailand,2017,108000
3200,Thailand,2016,110000
3201,Thailand,2015,112000
3202,Thailand,2014,114000
3203,Thailand,2013,116000
3204,Thailand,2012,117000
3205,Thailand,2011,119000
3206,Thailand,2010,122000
3207,Thailand,2009,126000
3208,Thailand,2008,131000
3209,Thailand,2007,136000
3210,Thailand,2006,141000
3211,Thailand,2005,146000
3212,Thailand,2004,151000
3213,Thailand,2003,155000
3214,Thailand,2002,156000
3215,Thailand,2001,156000
3216,Thailand,2000,152000
3217,Republic,2018,270
3218,Republic,2017,270
3219,Republic,2016,330
3220,Republic,2015,350
3221,Republic,2014,350
3222,Republic,2013,400
3223,Republic,2012,430
3224,Republic,2011,420
3225,Republic,2010,480
3226,Republic,2009,560
3227,Republic,2008,560
3228,Republic,2007,660
3229,Republic,2006,700
3230,Republic,2005,750
3231,Republic,2004,810
3232,Republic,2003,870
3233,Republic,2002,860
3234,Republic,2001,810
3235,Republic,2000,800
3236,Timor-Leste,2018,6300
3237,Timor-Leste,2017,6200
3238,Timor-Leste,2016,6100
3239,Timor-Leste,2015,6000
3240,Timor-Leste,2014,5900
3241,Timor-Leste,2013,5700
3242,Timor-Leste,2012,5600
3243,Timor-Leste,2011,5500
3244,Timor-Leste,2010,5400
3245,Timor-Leste,2009,5400
3246,Timor-Leste,2008,5300
3247,Timor-Leste,2007,5200
3248,Timor-Leste,2006,5100
3249,Timor-Leste,2005,5000
3250,Timor-Leste,2004,4800
3251,Timor-Leste,2003,4700
3252,Timor-Leste,2002,4600
3253,Togo,2018,2800
3254,Togo,2017,3100
3255,Togo,2016,3500
3256,Togo,2015,3800
3257,Togo,2014,4200
3258,Togo,2013,4500
3259,Togo,2012,4700
3260,Togo,2011,4800
3261,Togo,2010,4900
3262,Togo,2009,4800
3263,Togo,2008,4700
3264,Togo,2007,4500
3265,Togo,2006,4300
3266,Togo,2005,4000
3267,Togo,2004,3600
3268,Togo,2003,3200
3269,Togo,2002,2900
3270,Togo,2001,2700
3271,Togo,2000,2500
3272,Tonga,2018,10
3273,Tonga,2017,13
3274,Tonga,2016,9
3275,Tonga,2015,16
3276,Tonga,2014,15
3277,Tonga,2013,12
3278,Tonga,2012,13
3279,Tonga,2011,10
3280,Tonga,2010,13
3281,Tonga,2009,9
3282,Tonga,2008,15
3283,Tonga,2007,26
3284,Tonga,2006,21
3285,Tonga,2005,21
3286,Tonga,2004,14
3287,Tonga,2003,18
3288,Tonga,2002,33
3289,Tonga,2001,14
3290,Tonga,2000,28
3291,Trinidad,2018,290
3292,Trinidad,2017,230
3293,Trinidad,2016,250
3294,Trinidad,2015,230
3295,Trinidad,2014,290
3296,Trinidad,2013,290
3297,Trinidad,2012,320
3298,Trinidad,2011,260
3299,Trinidad,2010,250
3300,Trinidad,2009,310
3301,Trinidad,2008,320
3302,Trinidad,2007,250
3303,Trinidad,2006,270
3304,Trinidad,2005,190
3305,Trinidad,2004,200
3306,Trinidad,2003,170
3307,Trinidad,2002,150
3308,Trinidad,2001,240
3309,Trinidad,2000,230
3310,Tunisia,2018,4000
3311,Tunisia,2017,3900
3312,Tunisia,2016,4300
3313,Tunisia,2015,4300
3314,Tunisia,2014,3900
3315,Tunisia,2013,3800
3316,Tunisia,2012,4000
3317,Tunisia,2011,3800
3318,Tunisia,2010,3000
3319,Tunisia,2009,2700
3320,Tunisia,2008,2800
3321,Tunisia,2007,2900
3322,Tunisia,2006,2700
3323,Tunisia,2005,2600
3324,Tunisia,2004,2500
3325,Tunisia,2003,2500
3326,Tunisia,2002,2400
3327,Tunisia,2001,2400
3328,Tunisia,2000,2500
3329,Turkey,2018,13000
3330,Turkey,2017,14000
3331,Turkey,2016,14000
3332,Turkey,2015,14000
3333,Turkey,2014,15000
3334,Turkey,2013,15000
3335,Turkey,2012,16000
3336,Turkey,2011,17000
3337,Turkey,2010,18000
3338,Turkey,2009,19000
3339,Turkey,2008,20000
3340,Turkey,2007,22000
3341,Turkey,2006,23000
3342,Turkey,2005,23000
3343,Turkey,2004,20000
3344,Turkey,2003,21000
3345,Turkey,2002,21000
3346,Turkey,2001,20000
3347,Turkey,2000,21000
3348,Turkmenistan,2018,2700
3349,Turkmenistan,2017,2500
3350,Turkmenistan,2016,2600
3351,Turkmenistan,2015,2700
3352,Turkmenistan,2014,3200
3353,Turkmenistan,2013,3800
3354,Turkmenistan,2012,3700
3355,Turkmenistan,2011,3400
3356,Turkmenistan,2010,4000
3357,Turkmenistan,2009,3900
3358,Turkmenistan,2008,4700
3359,Turkmenistan,2007,4300
3360,Turkmenistan,2006,4000
3361,Turkmenistan,2005,4000
3362,Turkmenistan,2004,4200
3363,Turkmenistan,2003,5400
3364,Turkmenistan,2002,4600
3365,Turkmenistan,2001,4900
3366,Turkmenistan,2000,5000
3367,Tuvalu,2018,31
3368,Tuvalu,2017,26
3369,Tuvalu,2016,23
3370,Tuvalu,2015,23
3371,Tuvalu,2014,17
3372,Tuvalu,2013,21
3373,Tuvalu,2012,22
3374,Tuvalu,2011,14
3375,Tuvalu,2010,16
3376,Tuvalu,2009,21
3377,Tuvalu,2008,20
3378,Tuvalu,2007,21
3379,Tuvalu,2006,10
3380,Tuvalu,2005,14
3381,Tuvalu,2004,19
3382,Tuvalu,2003,36
3383,Tuvalu,2002,15
3384,Tuvalu,2001,18
3385,Tuvalu,2000,18
3386,Uganda,2018,86000
3387,Uganda,2017,83000
3388,Uganda,2016,80000
3389,Uganda,2015,77000
3390,Uganda,2014,75000
3391,Uganda,2013,73000
3392,Uganda,2012,71000
3393,Uganda,2011,69000
3394,Uganda,2010,68000
3395,Uganda,2009,67000
3396,Uganda,2008,66000
3397,Uganda,2007,65000
3398,Uganda,2006,65000
3399,Uganda,2005,65000
3400,Uganda,2004,64000
3401,Uganda,2003,64000
3402,Uganda,2002,64000
3403,Uganda,2001,65000
3404,Uganda,2000,65000
3405,Ukraine,2018,36000
3406,Ukraine,2017,37000
3407,Ukraine,2016,39000
3408,Ukraine,2015,41000
3409,Ukraine,2014,43000
3410,Ukraine,2013,44000
3411,Ukraine,2012,46000
3412,Ukraine,2011,48000
3413,Ukraine,2010,50000
3414,Ukraine,2009,53000
3415,Ukraine,2008,55000
3416,Ukraine,2007,57000
3417,Ukraine,2006,58000
3418,Ukraine,2005,60000
3419,Ukraine,2004,60000
3420,Ukraine,2003,60000
3421,Ukraine,2002,59000
3422,Ukraine,2001,58000
3423,Ukraine,2000,56000
3424,United,2018,99
3425,United,2017,76
3426,United,2016,74
3427,United,2015,72
3428,United,2014,69
3429,United,2013,94
3430,United,2012,91
3431,United,2011,120
3432,United,2010,150
3433,United,2009,130
3434,United,2008,110
3435,United,2007,110
3436,United,2006,100
3437,United,2005,120
3438,United,2004,110
3439,United,2003,130
3440,United,2002,100
3441,United,2001,85
3442,United,2000,130
3443,United,2018,5400
3444,United,2017,5900
3445,United,2016,6500
3446,United,2015,6600
3447,United,2014,7400
3448,United,2013,8300
3449,United,2012,9300
3450,United,2011,9500
3451,United,2010,8800
3452,United,2009,9100
3453,United,2008,9300
3454,United,2007,9000
3455,United,2006,9300
3456,United,2005,9200
3457,United,2004,7900
3458,United,2003,8000
3459,United,2002,7800
3460,United,2001,6800
3461,United,2000,7000
3462,United,2018,142000
3463,United,2017,147000
3464,United,2016,152000
3465,United,2015,158000
3466,United,2014,163000
3467,United,2013,163000
3468,United,2012,178000
3469,United,2011,183000
3470,United,2010,189000
3471,United,2009,195000
3472,United,2008,199000
3473,United,2007,200000
3474,United,2006,199000
3475,United,2005,196000
3476,United,2004,191000
3477,United,2003,185000
3478,United,2002,180000
3479,United,2001,174000
3480,United,2000,168000
3481,United,2018,9800
3482,United,2017,10000
3483,United,2016,10000
3484,United,2015,10000
3485,United,2014,10000
3486,United,2013,10000
3487,United,2012,11000
3488,United,2011,12000
3489,United,2010,13000
3490,United,2009,13000
3491,United,2008,15000
3492,United,2007,15000
3493,United,2006,16000
3494,United,2005,16000
3495,United,2004,17000
3496,United,2003,17000
3497,United,2002,17000
3498,United,2001,18000
3499,United,2000,19000
3500,Uruguay,2018,1200
3501,Uruguay,2017,1100
3502,Uruguay,2016,1000
3503,Uruguay,2015,1000
3504,Uruguay,2014,990
3505,Uruguay,2013,1000
3506,Uruguay,2012,930
3507,Uruguay,2011,940
3508,Uruguay,2010,800
3509,Uruguay,2009,810
3510,Uruguay,2008,790
3511,Uruguay,2007,700
3512,Uruguay,2006,640
3513,Uruguay,2005,720
3514,Uruguay,2004,840
3515,Uruguay,2003,740
3516,Uruguay,2002,620
3517,Uruguay,2001,790
3518,Uruguay,2000,740
3519,Uzbekistan,2018,23000
3520,Uzbekistan,2017,23000
3521,Uzbekistan,2016,24000
3522,Uzbekistan,2015,25000
3523,Uzbekistan,2014,25000
3524,Uzbekistan,2013,26000
3525,Uzbekistan,2012,26000
3526,Uzbekistan,2011,27000
3527,Uzbekistan,2010,28000
3528,Uzbekistan,2009,28000
3529,Uzbekistan,2008,29000
3530,Uzbekistan,2007,30000
3531,Uzbekistan,2006,31000
3532,Uzbekistan,2005,32000
3533,Uzbekistan,2004,31000
3534,Uzbekistan,2003,30000
3535,Uzbekistan,2002,29000
3536,Uzbekistan,2001,27000
3537,Uzbekistan,2000,24000
3538,Vanuatu,2018,130
3539,Vanuatu,2017,150
3540,Vanuatu,2016,160
3541,Vanuatu,2015,170
3542,Vanuatu,2014,160
3543,Vanuatu,2013,160
3544,Vanuatu,2012,160
3545,Vanuatu,2011,160
3546,Vanuatu,2010,160
3547,Vanuatu,2009,170
3548,Vanuatu,2008,170
3549,Vanuatu,2007,170
3550,Vanuatu,2006,170
3551,Vanuatu,2005,170
3552,Vanuatu,2004,170
3553,Vanuatu,2003,140
3554,Vanuatu,2002,130
3555,Vanuatu,2001,230
3556,Vanuatu,2000,200
3557,Venezuela,2018,14000
3558,Venezuela,2017,13000
3559,Venezuela,2016,10000
3560,Venezuela,2015,8900
3561,Venezuela,2014,8000
3562,Venezuela,2013,8200
3563,Venezuela,2012,8100
3564,Venezuela,2011,7900
3565,Venezuela,2010,8100
3566,Venezuela,2009,8100
3567,Venezuela,2008,8000
3568,Venezuela,2007,8100
3569,Venezuela,2006,8400
3570,Venezuela,2005,8600
3571,Venezuela,2004,8500
3572,Venezuela,2003,8400
3573,Venezuela,2002,7800
3574,Venezuela,2001,7800
3575,Venezuela,2000,8100
3576,Viet,2018,174000
3577,Viet,2017,178000
3578,Viet,2016,181000
3579,Viet,2015,185000
3580,Viet,2014,188000
3581,Viet,2013,192000
3582,Viet,2012,196000
3583,Viet,2011,200000
3584,Viet,2010,204000
3585,Viet,2009,208000
3586,Viet,2008,212000
3587,Viet,2007,216000
3588,Viet,2006,220000
3589,Viet,2005,223000
3590,Viet,2004,226000
3591,Viet,2003,229000
3592,Viet,2002,232000
3593,Viet,2001,234000
3594,Viet,2000,237000
3595,Yemen,2018,14000
3596,Yemen,2017,13000
3597,Yemen,2016,13000
3598,Yemen,2015,13000
3599,Yemen,2014,12000
3600,Yemen,2013,12000
3601,Yemen,2012,12000
3602,Yemen,2011,12000
3603,Yemen,2010,12000
3604,Yemen,2009,12000
3605,Yemen,2008,13000
3606,Yemen,2007,14000
3607,Yemen,2006,15000
3608,Yemen,2005,16000
