Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Bosnia and Herzegovina,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.0,2.0,1.0,1.0,3.0,,2.0,14.0,21.0,13.0,15.0,0.0
Brazil,,225.0,224.0,273.0,273.0,213.0,314.0,333.0,308.0,278.0,333.0,281.0,431.0,420.0,463.0,513.0,268.0,129.0,346.0,629.0,750.0,74.0,815.0,913.0,1049.0,1282.0,1321.0,1441.0,1547.0,1720.0,1852.0,1852.0,2569.0,2623.0,2800.0,2858.0,2810.0,2940.0,3098.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,0.0,0.0,0.0,1.0,,,,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0
Bulgaria,,,4.0,0.0,0.0,1.0,2.0,4.0,2.0,,2.0,0.0,4.0,2.0,0.0,2.0,2.0,4.0,3.0,,0.0,5.0,4.0,7.0,8.0,6.0,12.0,7.0,7.0,6.0,4.0,5.0,8.0,12.0,13.0,26.0,27.0,18.0,18.0
Burkina Faso,206.0,105.0,1.0,0.0,96.0,27.0,1.0,3.0,74.0,7.0,11.0,13.0,9.0,35.0,4.0,16.0,4.0,12.0,,31.0,,,28.0,48.0,53.0,53.0,72.0,181.0,100.0,207.0,299.0,636.0,799.0,602.0,657.0,744.0,748.0,763.0,746.0
Burundi,0.0,,,,3.0,1.0,1.0,2.0,2.0,11.0,,14.0,23.0,16.0,,40.0,71.0,,33.0,59.0,68.0,,,35.0,20.0,124.0,33.0,66.0,65.0,140.0,141.0,194.0,209.0,256.0,278.0,290.0,263.0,338.0,256.0
Cabo Verde,1.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,1.0,1.0,2.0,1.0,7.0,2.0,,14.0,10.0,26.0,2.0,3.0,8.0,8.0,14.0,35.0,,,,18.0,34.0,41.0,40.0
Cambodia,14.0,,0.0,,18.0,13.0,15.0,,,27.0,324.0,242.0,806.0,68.0,1041.0,796.0,966.0,913.0,295.0,425.0,321.0,238.0,605.0,430.0,,145.0,84.0,163.0,219.0,272.0,259.0,415.0,581.0,1169.0,827.0,147.0,2337.0,1481.0,2089.0
Cameroon,27.0,51.0,58.0,120.0,110.0,43.0,23.0,93.0,83.0,72.0,65.0,147.0,,129.0,154.0,,,,279.0,,,171.0,,,,,,,382.0,,,879.0,1084.0,893.0,1050.0,3.0,26.0,18.0,
