Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Thailand,64.0,34.0,7.0,240.0,152.0,539.0,493.0,517.0,387.0,594.0,621.0,341.0,498.0,382.0,379.0,490.0,667.0,879.0,1136.0,856.0,,0.627167055179428,9276.62716705518
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,3672.0,1759.0,328.0,420.0,1126.0,,88.0,712.0,2.0302505631383623,8834.030250563139
Kenya,24.0,14.0,331.0,422.0,651.0,299.0,,610.0,473.0,1305.0,1280.0,387.0,517.0,341.0,1068.0,811.0,,204.0,,,,0.7234917581280338,8737.723491758128
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,,23.0,1.0,6.0,24.0,202.0,304.0,440.0,498.0,1810.0,1196.0,595.0,454.0,2447.0,,1.628411470319055,8001.628411470319
Nepal,34.0,21.0,656.0,626.0,704.0,755.0,801.0,1175.0,510.0,1275.0,781.0,227.0,,,,,,,,,,0.6217162226848906,7565.621716222685
Cambodia,3.0,7.0,4.0,18.0,29.0,104.0,185.0,1096.0,85.0,528.0,4211.0,386.0,508.0,,,,,,,,,2.0772790418735245,7166.077279041873
Democratic Republic of the Congo (the),287.0,,204.0,464.0,864.0,1704.0,1860.0,318.0,130.0,110.0,969.0,,207.0,,,,,,,,,0.9721569280139586,7117.972156928014
Iraq,21.0,2.0,1.0,2.0,8.0,30.0,22.0,18.0,15.0,167.0,110.0,51.0,72.0,99.0,383.0,,,91.0,1612.0,4127.0,,2.6546046592592227,6833.654604659259
Philippines (the),129.0,2111.0,179.0,154.0,264.0,254.0,100.0,926.0,,578.0,280.0,,,0.0,25.0,,,1712.0,,21.0,,1.3691921544224361,6734.369192154422
Serbia,5.0,5.0,5.0,10.0,2.0,11.0,14.0,14.0,14.0,27.0,23.0,41.0,77.0,153.0,303.0,332.0,626.0,1333.0,2188.0,1498.0,,1.8432498002333724,6682.843249800233
Turkey,22.0,1.0,7.0,16.0,31.0,81.0,43.0,1734.0,64.0,97.0,139.0,644.0,1058.0,2245.0,,,,,,,,1.649169564104883,6183.649169564105
Czech Republic,2.0,2.0,0.0,0.0,1.0,0.0,6.0,27.0,4.0,6.0,14.0,4.0,8.0,8.0,31.0,28.0,3156.0,894.0,743.0,974.0,,2.518714706517304,5910.518714706517
Sudan (the),349.0,259.0,996.0,1052.0,817.0,291.0,191.0,237.0,345.0,338.0,150.0,163.0,255.0,,,,,,,,,0.7555400118685345,5443.755540011868
Ethiopia,1137.0,420.0,184.0,328.0,213.0,793.0,795.0,174.0,130.0,,191.0,187.0,276.0,175.0,104.0,,,,,12.0,,0.9287104187218008,5119.9287104187215
Yemen,712.0,41.0,56.0,162.0,1598.0,706.0,199.0,337.0,187.0,225.0,187.0,165.0,302.0,230.0,,,,,,,,1.1205598146176188,5108.120559814618
Namibia,5.0,29.0,37.0,625.0,357.0,40.0,42.0,140.0,22.0,27.0,0.0,0.0,9.0,103.0,874.0,209.0,1100.0,1272.0,,,,1.5099557663304608,4892.509955766331
Tajikistan,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,179.0,124.0,705.0,46.0,1231.0,567.0,681.0,654.0,54.0,111.0,385.0,,1.4682203419258852,4751.468220341926
Bhutan,11.0,9.0,3.0,1.0,0.0,6.0,2.0,3.0,9.0,15.0,2.0,3.0,11.0,81.0,12.0,350.0,,0.0,0.0,4127.0,,3.859671656982925,4648.859671656983
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,6.0,85.0,45.0,47.0,1206.0,70.0,157.0,974.0,1906.0,2.3545159115315366,4510.354515911532
Bosnia and Herzegovina,4.0,4.0,16.0,8.0,,,17.0,31.0,2784.0,523.0,19.0,25.0,29.0,43.0,43.0,46.0,66.0,,144.0,369.0,,2.728651715869173,4173.728651715869
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,322.0,580.0,941.0,1783.0,2.455047779411868,3755.455047779412
Pakistan,328.0,389.0,648.0,282.0,320.0,1113.0,483.0,189.0,,,,,,,,,,,,,,0.628816630833123,3752.628816630833
Latvia,3.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,7.0,9.0,7.0,12.0,35.0,52.0,309.0,2578.0,358.0,62.0,91.0,,3.2488801216997842,3537.2488801216996
Kyrgyzstan,8.0,4.0,3.0,100.0,24.0,12.0,6.0,3.0,2.0,14.0,4.0,3.0,11.0,1.0,7.0,5.0,274.0,2328.0,176.0,385.0,,3.079947767812177,3373.079947767812
Algeria,624.0,110.0,13.0,3.0,3.0,414.0,420.0,170.0,212.0,23.0,1339.0,,,,,,,,,,,1.3242498674772978,3332.324249867477
Tunisia,22.0,11.0,19.0,25.0,17.0,15.0,615.0,1075.0,164.0,98.0,156.0,51.0,5.0,11.0,15.0,,,1012.0,,,,1.7372991802629731,3312.737299180263
Ghana,24.0,17.0,11.0,12.0,26.0,168.0,272.0,712.0,,133.0,459.0,175.0,344.0,209.0,146.0,252.0,25.0,,,,,1.0361625094065159,2986.0361625094065
Malaysia,96.0,116.0,68.0,34.0,230.0,1138.0,789.0,374.0,104.0,,,,,,,,,,,,,1.1737452447937655,2950.1737452447937
Cameroon,693.0,711.0,13.0,277.0,147.0,148.0,147.0,106.0,48.0,33.0,78.0,126.0,58.0,159.0,,83.0,,,,,,1.1582509773539214,2828.158250977354
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,94.0,271.0,499.0,538.0,247.0,1008.0,1.992345079020345,2737.99234507902
Switzerland,2.0,1.0,0.0,3.0,4.0,6.0,10.0,9.0,12.0,35.0,12.0,,,,,,,1200.0,,1400.0,,2.3489850371167917,2696.348985037117
Afghanistan,37.0,53.0,42.0,59.0,43.0,367.0,,750.0,46.0,501.0,415.0,152.0,196.0,,,,,,,,,1.0578061376468542,2662.057806137647
Lithuania,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,13.0,110.0,118.0,93.0,170.0,277.0,458.0,1304.0,,,2.297649858969731,2550.2976498589696
Singapore,17.0,15.0,,,,48.0,64.0,110.0,158.0,178.0,181.0,83.0,90.0,139.0,141.0,88.0,152.0,242.0,312.0,432.0,,0.7418849182903453,2450.7418849182905
Zambia,2.0,16.0,34.0,94.0,74.0,183.0,134.0,1124.0,13.0,,257.0,93.0,0.0,165.0,157.0,0.0,,,,,,1.7843797896638238,2347.784379789664
Botswana,3.0,3.0,25.0,5.0,508.0,121.0,163.0,214.0,13.0,1.0,2.0,18.0,409.0,579.0,27.0,,1.0,6.0,170.0,6.0,,1.533451319542971,2275.533451319543
Spain,12.0,1.0,2.0,3.0,5.0,2.0,64.0,30.0,9.0,20.0,70.0,69.0,87.0,592.0,,115.0,143.0,,345.0,534.0,,1.5610969535133643,2104.5610969535132
Zimbabwe,3.0,4.0,2.0,0.0,1130.0,130.0,20.0,447.0,,28.0,63.0,242.0,,,,,,,,,,1.817146111710691,2070.817146111711
Democratic People's Republic of Korea (the),0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,82.0,101.0,101.0,123.0,507.0,520.0,520.0,0.0,,,,1.763293129532381,1961.7632931295325
Burkina Faso,4.0,1.0,1.0,4.0,57.0,27.0,677.0,,,,97.0,4.0,3.0,12.0,49.0,668.0,303.0,49.0,,,,1.7863931837769451,1957.786393183777
Samoa,0.0,2.0,,,,,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,1909.0,,0.0,,,,3.3109025396015097,1915.3109025396016
Saudi Arabia,53.0,61.0,,4.0,23.0,1164.0,18.0,,35.0,12.0,15.0,32.0,23.0,18.0,22.0,22.0,12.0,38.0,,299.0,,2.573408633579039,1853.573408633579
Albania,0.0,0.0,2.0,,,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,10.0,1752.0,15.0,,4.096574343664951,1815.096574343665
Madagascar,53.0,223.0,204.0,89.0,162.0,131.0,110.0,196.0,157.0,193.0,73.0,68.0,127.0,,,,,,,,,0.4128618318568365,1786.4128618318568
United Republic of Tanzania,34.0,28.0,24.0,45.0,529.0,116.0,55.0,18.0,121.0,0.0,0.0,,87.0,151.0,234.0,109.0,175.0,,,,,1.2140211026356185,1727.2140211026356
Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,201.0,1108.0,399.0,3.0885938820205303,1727.0885938820206
Togo,41.0,37.0,276.0,,16.0,38.0,33.0,69.0,80.0,87.0,136.0,7.0,0.0,86.0,142.0,295.0,334.0,,,,,1.0146857979372514,1678.0146857979373
Australia,8.0,11.0,17.0,18.0,17.0,26.0,35.0,60.0,42.0,25.0,38.0,36.0,,31.0,44.0,56.0,253.0,262.0,313.0,379.0,,1.3266943013384882,1672.3266943013384
Chad,1457.0,24.0,24.0,31.0,,,,0.0,3.0,3.0,,,46.0,,,,,,,,,2.5630374076762337,1590.5630374076763
Côte d'Ivoire,197.0,329.0,192.0,50.0,54.0,98.0,298.0,43.0,31.0,51.0,113.0,48.0,15.0,,,,,,,,,0.894047230417432,1519.8940472304175
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,16.0,2.0,,14.0,14.0,12.0,1439.0,,4.0576972247024745,1505.0576972247025
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,71.0,86.0,1341.0,,3.8894152288421835,1501.8894152288422
Eritrea,10.0,413.0,113.0,16.0,109.0,19.0,18.0,354.0,163.0,69.0,,,44.0,16.0,2.0,4.0,46.0,11.0,39.0,33.0,,1.4413514267867837,1480.4413514267867
Iran (Islamic Republic of),33.0,20.0,18.0,45.0,14.0,32.0,30.0,20.0,24.0,11.0,14.0,20.0,,,,,,,1154.0,,,2.841969126629533,1437.8419691266295
Mozambique,117.0,102.0,,,210.0,127.0,428.0,143.0,70.0,69.0,166.0,,,,,,,,,,,0.6932126132563362,1432.6932126132563
Malawi,6.0,26.0,33.0,99.0,433.0,23.0,56.0,267.0,28.0,53.0,105.0,136.0,0.0,51.0,59.0,6.0,6.0,19.0,,,,1.4019026119740143,1407.401902611974
Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,6.0,5.0,133.0,219.0,326.0,393.0,255.0,1.8659526030493085,1385.8659526030492
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,498.0,26.0,18.0,29.0,32.0,129.0,581.0,,2.414103857149878,1330.41410385715
Dominican Republic (the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,7.0,4.0,42.0,42.0,818.0,337.0,17.0,3.0519474685146477,1297.0519474685148
Lesotho,0.0,8.0,11.0,129.0,296.0,516.0,68.0,172.0,,0.0,0.0,,4.0,,,84.0,,,,0.0,,1.5537330564781877,1289.5537330564782
Bolivia (Plurinational State of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,41.0,129.0,550.0,434.0,35.0,19.0,2.5292885198052826,1232.5292885198053
Central African Republic (the),4.0,19.0,38.0,354.0,507.0,31.0,11.0,15.0,15.0,32.0,28.0,118.0,12.0,2.0,0.0,,,,,,,1.8754023213291948,1187.8754023213291
Senegal,8.0,7.0,135.0,15.0,101.0,44.0,44.0,141.0,50.0,55.0,161.0,81.0,24.0,12.0,242.0,29.0,,,,,,0.938521088976154,1149.9385210889761
Burundi,25.0,25.0,29.0,79.0,71.0,7.0,11.0,67.0,247.0,305.0,173.0,15.0,39.0,26.0,,,,,,,,1.1766075328226058,1120.1766075328226
Sri Lanka,0.0,1.0,0.0,9.0,10.0,24.0,54.0,416.0,68.0,143.0,79.0,5.0,2.0,16.0,6.0,34.0,,104.0,29.0,110.0,,1.6557886763247143,1111.6557886763246
Estonia,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,10.0,5.0,6.0,22.0,48.0,96.0,274.0,370.0,238.0,,2.013319563172595,1078.0133195631727
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,,26.0,298.0,194.0,532.0,2.5866306415828024,1058.5866306415828
United States of America (the),,7.0,1.0,5.0,6.0,9.0,9.0,4.0,5.0,3.0,16.0,12.0,11.0,11.0,10.0,7.0,18.0,23.0,176.0,267.0,364.0,2.07612529434791,966.0761252943479
Syrian Arab Republic (the),6.0,1.0,1.0,0.0,5.0,1.0,1.0,7.0,20.0,2.0,5.0,0.0,30.0,4.0,47.0,112.0,1.0,11.0,2.0,648.0,,3.1914847407240905,907.191484740724
United Arab Emirates (the),12.0,38.0,132.0,177.0,14.0,,30.0,,34.0,,70.0,,,43.0,10.0,60.0,29.0,59.0,52.0,92.0,,0.8168602119633778,852.8168602119633
Guinea,15.0,168.0,289.0,4.0,8.0,10.0,55.0,34.0,3.0,7.0,88.0,26.0,26.0,,9.0,28.0,,0.0,,,,1.603223828120676,771.6032238281207
Angola,31.0,20.0,12.0,230.0,112.0,36.0,65.0,24.0,38.0,10.0,28.0,25.0,14.0,10.0,43.0,22.0,0.0,,,,,1.295036114480458,721.2950361144805
Mali,112.0,19.0,81.0,172.0,19.0,19.0,19.0,125.0,64.0,8.0,33.0,6.0,9.0,18.0,1.0,6.0,,,,,,1.1604767138702112,712.1604767138703
Eswatini,0.0,0.0,4.0,2.0,1.0,110.0,23.0,20.0,93.0,138.0,26.0,15.0,107.0,0.0,0.0,1.0,7.0,11.0,115.0,0.0,,1.4275325970097303,674.4275325970098
Lao People's Democratic Republic (the),15.0,10.0,40.0,45.0,2.0,83.0,78.0,169.0,31.0,124.0,45.0,1.0,,,,,,,,,,0.9647722898293054,643.9647722898293
Sierra Leone,16.0,358.0,97.0,10.0,,,,54.0,2.0,,44.0,9.0,6.0,,1.0,4.0,,,,,,1.920336978078068,602.920336978078
Republic of Korea (the),0.0,4.0,11.0,3.0,11.0,17.0,27.0,53.0,21.0,37.0,31.0,35.0,18.0,12.0,15.0,8.0,12.0,131.0,153.0,,,1.309468652922746,600.3094686529228
Rwanda,11.0,22.0,15.0,1.0,15.0,50.0,172.0,62.0,36.0,34.0,35.0,14.0,25.0,31.0,,10.0,0.0,,,0.0,,1.2815623734107624,534.2815623734108
United Kingdom of Great Britain and Northern Ireland (the),3.0,15.0,2.0,3.0,1.0,13.0,70.0,5.0,31.0,22.0,31.0,31.0,30.0,35.0,17.0,34.0,72.0,43.0,75.0,,,0.8395818266130058,533.839581826613
Netherlands (the),0.0,0.0,0.0,1.0,2.0,58.0,1.0,2.0,0.0,8.0,2.0,1.0,11.0,364.0,46.0,1.0,3.0,,12.0,3.0,,3.0667969880276376,518.0667969880276
North Macedonia,0.0,0.0,,1.0,0.0,0.0,4.0,8.0,3.0,11.0,14.0,19.0,28.0,31.0,33.0,52.0,61.0,,87.0,120.0,,1.2955247348120738,473.2955247348121
