Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,COV,SUM
Yemen,,,,,,3837.0,5081.0,3306.0,4685.0,5243.0,5191.0,5059.0,6295.0,3165.0,,,,,,,,0.22000133978765712,41862.22000133979
Oman,151.0,153.0,112.0,588.0,202.0,163.0,679.0,121.0,575.0,635.0,995.0,73.0,1127.0,856.0,829.0,1664.0,2497.0,3661.0,10443.0,12628.0,,1.7980083998022678,38153.798008399805
Bhutan,27.0,259.0,795.0,620.0,206.0,20.0,198.0,262.0,218.0,,,,,144.0,,,,5333.0,1967.0,25554.0,,2.5583853424255167,35605.558385342425
Bulgaria,27.0,15.0,19.0,18.0,31.0,25.0,58.0,139.0,317.0,1111.0,5582.0,5299.0,911.0,608.0,91.0,180.0,334.0,1446.0,2357.0,15845.0,,2.155875095248,34415.155875095246
Mongolia,,219.0,346.0,241.0,425.0,5268.0,9060.0,1016.0,524.0,1990.0,560.0,965.0,5073.0,1686.0,417.0,450.0,1659.0,2795.0,874.0,426.0,,1.2934409840306342,33995.29344098403
Czech Republic,516.0,1407.0,5734.0,1616.0,677.0,1553.0,3902.0,2885.0,1068.0,357.0,403.0,1297.0,5172.0,1803.0,244.0,753.0,748.0,107.0,120.0,117.0,,1.086033366097535,30480.086033366097
United States of America (the),,6109.0,6369.0,1308.0,1223.0,584.0,229.0,386.0,2612.0,1991.0,451.0,800.0,6339.0,,258.0,197.0,238.0,231.0,323.0,,,1.298549206358534,29649.29854920636
Eswatini,0.0,268.0,1.0,10730.0,3.0,,0.0,6773.0,7602.0,,1058.0,3013.0,,0.0,0.0,0.0,0.0,,,0.0,,1.78152390744469,29449.781523907444
Eritrea,0.0,1990.0,1458.0,,,0.0,2350.0,3825.0,2410.0,1585.0,2071.0,,1240.0,2335.0,1771.0,1652.0,1627.0,1808.0,2028.0,654.0,,0.5392318880043775,28804.539231888004
Bolivia (Plurinational State of),36.0,9057.0,0.0,,586.0,764.0,0.0,1096.0,1781.0,3696.0,10566.0,,,0.0,,0.0,,,680.0,,,1.6352135538166654,28263.635213553818
Switzerland,,,0.0,,,,,140.0,600.0,900.0,,,,,,,,9900.0,,16400.0,,1.4817538617771484,27941.481753861775
