Country,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,COV,SUM
Yemen,41.89,37.56,48.76,57.16,35.52,43.81,41.95,61.72,32.25,39.23,0.21337161543526184,440.0633716154353
Sudan,37.45,37.51,38.21,34.28,30.26,27.61,27.05,27.98,51.85,65.57,0.32468592874229646,378.0946859287423
Comoros,3.97,1.44,1.67,2.9,71.69,68.85,35.18,52.98,57.77,65.1,0.8478424189495006,362.39784241894944
Ecuador,2.63,2.49,1.31,0.52,0.81,1.21,2.76,4.34,42.6,284.03,2.587866393672536,345.2878663936725
Suriname,0.48,0.92,0.99,4.95,9.1,4.49,9.82,22.03,123.9,162.83,1.7300265361946723,341.24002653619465
Myanmar,3.68,8.34,13.63,15.54,23.16,62.55,43.95,67.64,49.33,49.33,0.6967149053375542,337.84671490533754
Cambodia,18.4,11.44,20.49,22.88,16.31,25.51,36.66,35.71,27.67,100.54,0.8086083126476522,316.4186083126477
Afghanistan,23.01,23.0,14.22,11.26,8.75,11.76,19.86,15.92,28.91,92.64,0.9871110212934744,250.31711102129347
Namibia,44.56,21.14,10.44,13.96,4.41,3.27,2.09,1.51,54.07,70.66,1.1009274724548017,227.21092747245478
Lao People's Democratic Republic,5.8,8.01,22.95,30.72,23.88,29.4,11.08,12.47,13.08,62.65,0.7627895902003623,220.80278959020038
Eritrea,22.87,17.47,13.24,23.11,10.6,11.51,17.14,19.01,6.97,13.65,0.3403443809315273,155.91034438093152
Venezuela (Bolivarian Republic of),47.56,28.17,16.18,10.9,9.65,6.58,5.78,5.78,6.33,4.72,0.9688903779705175,142.61889037797053
India,7.66,10.2,9.97,9.45,9.38,12.05,15.03,17.81,23.21,22.78,0.4152745576482341,137.95527455764824
Colombia,7.4,10.69,6.79,5.37,6.87,8.08,8.15,16.12,17.33,23.36,0.5372430684469456,110.69724306844694
Djibouti,31.9,29.3,20.43,20.7,3.76,0.06,0.0,2.37,1.05,,1.090041684898,110.66004168489799
Brazil,5.13,3.17,3.8,3.54,4.73,6.28,6.98,9.63,17.18,21.23,0.7586175307290651,82.42861753072907
Indonesia,5.8,4.95,4.98,5.85,8.07,9.94,10.13,11.26,9.89,8.25,0.29902149618709817,79.4190214961871
Pakistan,4.94,6.33,5.33,7.53,7.94,9.45,11.13,8.62,5.59,6.88,0.26717528972893684,74.00717528972893
Iran (Islamic Republic of),0.07,0.1,0.21,0.45,0.61,0.97,2.12,2.43,26.37,29.19,1.8225524536707818,64.34255245367078
Haiti,3.26,3.62,3.26,3.38,5.15,6.33,8.75,9.26,9.26,9.26,0.44537123298193065,61.97537123298193
Peru,5.6,5.69,7.44,6.73,5.09,3.33,2.58,3.22,9.81,9.2,0.42055167073871513,59.110551670738715
Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.37,48.62,3.123068394712418,52.293068394712414
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.8,35.9,2.9911483046478273,40.77114830464783
Bolivia (Plurinational State of),1.3,1.6,2.01,2.4,2.41,2.48,2.23,4.36,7.07,11.7,0.8685897481436563,38.42858974814366
Bangladesh,1.86,1.78,2.59,3.15,1.48,2.11,6.18,6.96,5.55,5.55,0.5643053338408405,37.77430533384084
Malaysia,0.07,0.21,0.2,2.6,2.46,3.14,3.45,4.62,5.43,13.7,1.1165467353165526,36.99654673531655
