Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
Congo (the),0.0,,0.0,,14.0,5.0,2.0,0.0,2.0,2.0,3.0,3.0,25.0,12.0,14.0,15.0,8.0,,,,,0.0,7.0,5.0,,,,26.0,27.0,39.0,53.0,42.0,74.0,250.0,144.0,23.0,31.0,134.0,167.0,1.5847771826556967,1128.5847771826557
Portugal,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,6.0,1.0,9.0,7.0,8.0,9.0,6.0,11.0,,15.0,,19.0,16.0,24.0,28.0,28.0,26.0,37.0,39.0,34.0,60.0,53.0,57.0,51.0,83.0,50.0,62.0,83.0,82.0,73.0,1.0093276117645051,990.0093276117645
Russian Federation (the),11.0,13.0,18.0,13.0,8.0,11.0,21.0,8.0,13.0,10.0,11.0,15.0,15.0,29.0,35.0,25.0,31.0,42.0,33.0,49.0,49.0,53.0,69.0,70.0,68.0,96.0,84.0,74.0,,,,,,,,,,,,0.7541337806782147,974.7541337806782
Honduras,14.0,27.0,14.0,17.0,8.0,12.0,17.0,14.0,16.0,21.0,12.0,13.0,18.0,19.0,13.0,23.0,17.0,17.0,9.0,16.0,18.0,11.0,20.0,7.0,29.0,14.0,28.0,22.0,62.0,37.0,32.0,50.0,71.0,47.0,46.0,25.0,31.0,24.0,31.0,0.6152366650885108,922.6152366650886
Ukraine,0.0,,10.0,,,,23.0,12.0,13.0,,17.0,28.0,24.0,,20.0,34.0,36.0,34.0,36.0,52.0,41.0,42.0,55.0,72.0,77.0,83.0,99.0,95.0,,,,,,,,,,,,0.6897718371480438,903.6897718371481
Romania,6.0,7.0,14.0,7.0,3.0,6.0,7.0,20.0,9.0,9.0,11.0,12.0,10.0,8.0,11.0,13.0,21.0,23.0,14.0,19.0,23.0,17.0,22.0,28.0,25.0,30.0,37.0,23.0,33.0,22.0,29.0,36.0,30.0,23.0,39.0,24.0,42.0,39.0,33.0,0.543658248413139,785.5436582484131
El Salvador,4.0,0.0,2.0,6.0,6.0,4.0,7.0,9.0,2.0,10.0,1.0,6.0,5.0,7.0,7.0,6.0,7.0,7.0,13.0,7.0,12.0,4.0,10.0,13.0,10.0,18.0,30.0,,,,50.0,40.0,43.0,52.0,62.0,44.0,92.0,88.0,98.0,1.2514682401941666,783.2514682401942
Tunisia,,1.0,4.0,4.0,5.0,8.0,2.0,1.0,3.0,2.0,5.0,6.0,5.0,2.0,2.0,2.0,5.0,7.0,5.0,3.0,3.0,4.0,4.0,8.0,7.0,7.0,13.0,12.0,12.0,15.0,30.0,42.0,34.0,43.0,47.0,44.0,178.0,58.0,121.0,1.7726227839088466,755.7726227839089
Mauritania,0.0,3.0,2.0,2.0,6.0,4.0,0.0,,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,26.0,24.0,70.0,48.0,64.0,129.0,135.0,82.0,16.0,36.0,35.0,12.0,1.3760649734846397,699.3760649734846
Gabon,0.0,,,,,0.0,2.0,,3.0,5.0,6.0,,3.0,0.0,,,3.0,14.0,,,,,0.0,,,17.0,19.0,,22.0,34.0,21.0,26.0,23.0,42.0,20.0,59.0,290.0,5.0,12.0,2.2299248795467728,628.2299248795468
Hungary,1.0,0.0,5.0,2.0,2.0,2.0,5.0,4.0,0.0,6.0,4.0,4.0,7.0,3.0,1.0,4.0,5.0,8.0,10.0,,12.0,12.0,11.0,14.0,17.0,23.0,14.0,11.0,25.0,17.0,18.0,36.0,31.0,37.0,41.0,31.0,41.0,44.0,48.0,0.9693427042046122,556.9693427042046
Chile,3.0,8.0,11.0,8.0,7.0,10.0,6.0,12.0,9.0,10.0,8.0,3.0,7.0,8.0,10.0,10.0,6.0,11.0,5.0,15.0,15.0,6.0,17.0,11.0,11.0,18.0,15.0,15.0,22.0,19.0,17.0,13.0,19.0,26.0,23.0,34.0,36.0,28.0,31.0,0.5978323004864854,543.5978323004865
Oman,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,5.0,1.0,5.0,5.0,3.0,8.0,7.0,7.0,10.0,7.0,3.0,11.0,11.0,10.0,24.0,64.0,51.0,90.0,52.0,36.0,48.0,1.6552274337551207,490.65522743375516
Bhutan,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,23.0,7.0,,,1.0,,,,0.0,2.0,68.0,0.0,0.0,,0.0,1.0,0.0,2.0,4.0,1.0,81.0,9.0,3.0,107.0,34.0,77.0,1.0,1.0,1.0,3.0,2.1143958715613187,436.1143958715613
Namibia,3.0,3.0,3.0,0.0,4.0,2.0,3.0,10.0,13.0,7.0,11.0,15.0,4.0,15.0,15.0,14.0,10.0,15.0,148.0,17.0,9.0,,,,,,,,19.0,29.0,52.0,,,,,,,,,1.7020131106576335,422.7020131106576
United Kingdom of Great Britain and Northern Ireland (the),7.0,5.0,4.0,6.0,9.0,8.0,6.0,3.0,9.0,6.0,5.0,4.0,3.0,10.0,20.0,14.0,7.0,7.0,2.0,,,9.0,10.0,7.0,4.0,8.0,7.0,8.0,18.0,22.0,23.0,15.0,14.0,12.0,9.0,8.0,20.0,25.0,30.0,0.6603175995841711,384.6603175995842
Republic of Korea (the),31.0,34.0,24.0,22.0,26.0,22.0,17.0,19.0,14.0,17.0,14.0,,10.0,11.0,11.0,8.0,,7.0,6.0,,3.0,0.0,0.0,,,,,,0.0,0.0,5.0,3.0,2.0,5.0,5.0,16.0,7.0,9.0,1.0,0.8448418116538147,349.84484181165385
Germany,,,,,,,,,,,,,,,,,,,8.0,,7.0,11.0,17.0,11.0,14.0,16.0,14.0,16.0,18.0,13.0,16.0,15.0,28.0,18.0,21.0,22.0,25.0,22.0,21.0,0.32622417397453796,333.32622417397454
Greece,4.0,2.0,3.0,6.0,2.0,1.0,7.0,11.0,5.0,2.0,7.0,10.0,,7.0,5.0,,3.0,4.0,16.0,,,2.0,7.0,4.0,5.0,4.0,3.0,5.0,16.0,5.0,2.0,3.0,4.0,9.0,32.0,25.0,31.0,30.0,15.0,1.0150995356446801,298.0150995356447
Panama,2.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,10.0,8.0,8.0,9.0,10.0,11.0,7.0,14.0,17.0,15.0,18.0,19.0,24.0,39.0,31.0,1.1928318008246752,294.1928318008247
Cabo Verde,1.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,1.0,1.0,2.0,1.0,7.0,2.0,,14.0,10.0,26.0,2.0,3.0,8.0,8.0,14.0,35.0,,,,18.0,34.0,41.0,40.0,1.5040460161559406,277.50404601615594
Jordan,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,7.0,8.0,8.0,6.0,9.0,11.0,6.0,9.0,13.0,11.0,28.0,29.0,31.0,15.0,46.0,1.4511520039040469,271.45115200390404
Solomon Islands,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,45.0,0.0,0.0,0.0,0.0,,,0.0,1.0,7.0,3.0,22.0,33.0,,,46.0,30.0,20.0,8.0,0.0,0.0,3.0,6.0,5.0,12.0,14.0,1.6407134293285552,260.64071342932857
Jamaica,0.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,6.0,1.0,10.0,9.0,12.0,11.0,2.0,3.0,9.0,5.0,6.0,8.0,6.0,13.0,9.0,6.0,6.0,5.0,13.0,6.0,1.0,6.0,3.0,17.0,19.0,4.0,2.0,11.0,9.0,10.0,0.7504935177194665,243.75049351771946
Libya,0.0,,,,,,0.0,,,0.0,0.0,0.0,1.0,2.0,3.0,,4.0,3.0,,,10.0,1.0,,,2.0,2.0,3.0,3.0,1.0,7.0,10.0,12.0,14.0,19.0,20.0,27.0,27.0,32.0,30.0,1.2000259293245281,234.2000259293245
Australia,3.0,4.0,7.0,3.0,3.0,4.0,7.0,3.0,2.0,3.0,4.0,3.0,,2.0,5.0,3.0,2.0,3.0,7.0,3.0,7.0,7.0,,5.0,15.0,10.0,14.0,7.0,6.0,11.0,5.0,5.0,5.0,11.0,7.0,10.0,12.0,12.0,9.0,0.577352104106808,229.5773521041068
Bulgaria,,,4.0,0.0,0.0,1.0,2.0,4.0,2.0,,2.0,0.0,4.0,2.0,0.0,2.0,2.0,4.0,3.0,,0.0,5.0,4.0,7.0,8.0,6.0,12.0,7.0,7.0,6.0,4.0,5.0,8.0,12.0,13.0,26.0,27.0,18.0,18.0,1.0639535211344289,226.06395352113444
Eritrea,0.0,0.0,1.0,7.0,,0.0,19.0,17.0,16.0,49.0,8.0,,1.0,6.0,15.0,17.0,10.0,9.0,11.0,21.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,1.1463996450088363,216.14639964500884
Cuba,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,4.0,1.0,4.0,5.0,6.0,2.0,5.0,4.0,7.0,7.0,5.0,6.0,14.0,7.0,14.0,24.0,21.0,22.0,26.0,1.276479387666849,213.27647938766685
Croatia,3.0,2.0,0.0,3.0,,1.0,1.0,2.0,4.0,9.0,1.0,5.0,4.0,3.0,8.0,12.0,8.0,14.0,18.0,13.0,8.0,10.0,11.0,17.0,19.0,11.0,8.0,17.0,,,,,,,,,,,,0.741531453600088,212.7415314536001
Sao Tome and Principe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,0.0,,,,,,,,18.0,13.0,28.0,20.0,13.0,41.0,19.0,15.0,12.0,1.69803632412858,185.69803632412857
United Arab Emirates (the),0.0,,,,0.0,,3.0,,4.0,,3.0,,,1.0,9.0,5.0,4.0,6.0,6.0,3.0,4.0,0.0,3.0,7.0,8.0,3.0,8.0,3.0,3.0,6.0,12.0,10.0,6.0,8.0,9.0,10.0,19.0,4.0,14.0,0.729456143001441,181.72945614300144
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,7.0,8.0,10.0,10.0,10.0,4.0,3.0,12.0,12.0,15.0,15.0,11.0,14.0,28.0,1.393712011971425,179.39371201197142
Djibouti,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0,0.0,,3.0,1.0,2.0,2.0,6.0,95.0,0.0,,,28.0,,10.0,13.0,,2.950147004292968,170.95014700429297
Azerbaijan,9.0,7.0,13.0,8.0,9.0,5.0,7.0,0.0,0.0,,6.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,18.0,20.0,11.0,11.0,11.0,,,,,,,,,,,,0.8890366333142047,163.88903663331422
Kazakhstan,6.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,4.0,2.0,5.0,2.0,2.0,3.0,8.0,8.0,7.0,3.0,5.0,15.0,14.0,8.0,11.0,11.0,16.0,,,,,,,,,,,,0.8552075939076583,148.85520759390766
Georgia,7.0,5.0,5.0,4.0,7.0,2.0,6.0,5.0,7.0,3.0,4.0,7.0,3.0,2.0,7.0,7.0,13.0,8.0,6.0,3.0,5.0,6.0,5.0,3.0,0.0,5.0,3.0,2.0,,,,,,,,,,,,0.5077182070575939,140.5077182070576
Albania,0.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,,3.0,2.0,18.0,14.0,18.0,7.0,8.0,15.0,3.0,5.0,6.0,5.0,4.0,2.0,4.0,1.0,3.0,5.0,1.2894435782546427,137.28944357825463
Canada,0.0,4.0,5.0,4.0,6.0,2.0,4.0,2.0,3.0,2.0,1.0,5.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,4.0,3.0,6.0,3.0,6.0,4.0,2.0,3.0,2.0,3.0,7.0,4.0,9.0,2.0,8.0,10.0,1.0,2.0,0.7091329830483115,134.7091329830483
Uruguay,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,11.0,4.0,10.0,9.0,4.0,15.0,13.0,15.0,1.2906912557066332,129.29069125570663
Kiribati,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,16.0,1.0,4.0,32.0,11.0,23.0,2.0,3.0,1.0,2.0,5.0,1.0,10.0,0.0,3.0,3.0,2.0,0.0,2.0485752322955504,121.04857523229555
Costa Rica,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,3.0,0.0,2.0,1.0,2.0,2.0,4.0,7.0,3.0,6.0,7.0,7.0,16.0,13.0,17.0,1.3945013210827766,116.39450132108277
Slovenia,2.0,0.0,2.0,3.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,2.0,,5.0,3.0,5.0,5.0,8.0,13.0,8.0,9.0,12.0,,,,,,,,,,,,0.9030560359588061,105.9030560359588
Suriname,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,40.0,2.0,2.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,11.0,2.639802390736802,96.6398023907368
Equatorial Guinea,6.0,,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,,,,0.0,2.0,,,,,,,,,33.0,2.0,,28.0,,,,,2.1862666591159243,90.18626665911592
Comoros (the),5.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,,2.0,0.0,0.0,1.0,,,17.0,17.0,17.0,,,13.0,,,,,,,,,1.6353721653263886,87.63537216532639
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,13.0,0.0,0.0,,0.0,,,,,,,,0.0,27.0,4.0,18.0,0.0,0.0,1.0,1.0,3.0,10.0,0.0,1.0,2.3840312667772983,81.3840312667773
Lebanon,2.0,1.0,2.0,3.0,,3.0,2.0,0.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,8.0,15.0,5.0,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,1.0,,,1.135378057447533,81.13537805744753
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,1.0,2.0,1.0,1.0,3.0,,2.0,14.0,21.0,13.0,15.0,0.0,2.3414641774489313,75.34146417744893
Netherlands (the),1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,,1.0,,,,,,4.0,,,,,0.0,5.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,5.0,3.0,1.0,9.0,1.0,2.0,8.0,0.8799584837426803,74.87995848374268
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,3.0,2.0,10.0,6.0,5.0,7.0,13.0,1.5461611440159613,73.54616114401597
New Zealand,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,6.0,1.0,,1.0,,1.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,,0.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,7.0,5.0,5.0,4.0,2.0,1.1401518126144816,72.14015181261448
Timor-Leste,1.0,1.0,0.0,0.0,0.0,11.0,10.0,3.0,9.0,9.0,9.0,6.0,,6.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0046384393968701,66.00463843939687
Belarus,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,12.0,6.0,9.0,5.0,,,,,,,,,,,,1.264069436347793,62.264069436347796
Belgium,0.0,0.0,,,,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,,0.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,10.0,3.0,4.0,1.1512969923277556,58.15129699232776
Sweden,3.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,5.0,5.0,4.0,1.0101990075297693,58.01019900752977
Finland,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,5.0,6.0,11.0,11.0,12.0,4.0,1.4638501094228,57.4638501094228
Vanuatu,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,0.0,6.0,,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,6.0,1.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,1.1377108002118907,56.13771080021189
Lithuania,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,6.0,2.0,3.0,2.0,0.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,0.7263630674704792,55.72636306747048
Denmark,2.0,2.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,,,2.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,5.0,2.0,4.0,3.0,1.0,0.0,2.0,5.0,4.0,2.0,0.995327077234409,52.99532707723441
Kuwait,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,,,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,3.0,3.0,15.0,1.6454412548240436,51.64544125482404
Mauritius,,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,1.0,0.0,0.0,,,0.0,,,,,,2.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,17.0,7.0,5.0,2.006483900733895,49.0064839007339
Switzerland,,,,,,,,,1.0,4.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,,,1.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,0.7790146592238907,48.77901465922389
Norway,3.0,,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,2.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,3.0,0.9723856071863574,45.972385607186354
Mongolia,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,,1.0,1.0,2.0,6.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.2540371641115124,45.25403716411151
Israel,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,0.0,5.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.1019177492569434,43.10191774925694
Malta,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,4.0,8.0,1.6163979653140708,39.61639796531407
South Sudan,0.0,0.0,,4.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9404721329525534,37.94047213295255
Uzbekistan,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,12.0,4.0,,,,,,,,,,,,1.8903320084156685,36.89033200841567
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,2.0,5.0,2.0,7.0,2.019130382477876,33.019130382477876
Armenia,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,,,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,7.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,1.3130456537717528,31.313045653771752
Belize,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,5.0,1.0,1.994235112570864,29.994235112570863
Latvia,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,2.0,3.0,1.0,3.0,4.0,0.0,2.0,1.0,2.0,6.0,,,,,,,,,,,,1.3947220502392261,28.394722050239224
Tonga,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,5.0,3.0,2.0,1.8797203439417716,26.87972034394177
Saint Lucia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,6.0,3.0,1.0,1.845655234122354,26.845655234122354
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,3.0,3.0,1.8067941950199788,26.80679419501998
Estonia,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.2855325716832862,24.285532571683284
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,7.0,4.0,2.578131573187678,23.578131573187676
North Macedonia,,0.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,1.174495919599107,22.174495919599106
Bahamas (the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,3.0,2.277561941293732,21.277561941293733
Tajikistan,,,,,,0.0,0.0,3.0,4.0,0.0,2.0,1.0,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,1.2304948789242578,21.230494878924258
Bosnia and Herzegovina,,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,1.7855657962040405,20.78556579620404
Republic of Moldova (the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,4.0,,,,,,,,,,,,1.656323708751635,20.656323708751636
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,4.0,0.0,,,4.0,4.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.170682074877388,20.170682074877387
Czech Republic,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,1.4796284707731984,19.4796284707732
Dominica,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.7887438463070764,18.788743846307078
Turkmenistan,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,1.662077013859466,17.662077013859466
Singapore,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,5.0,,0.0,,0.0,,,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,1.0,3.0,1.0,,,2.453266907313291,17.453266907313292
Ireland,0.0,1.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724487230787845,16.724487230787844
