Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,COV,SUM
Chad,189.0,47.0,172.0,195.0,154.0,176.0,225.0,215.0,,146.0,163.0,100.0,,191.0,,,,,,,1110.0,930.0,,,,1073.0,1086.0,1094.0,1603.0,1533.0,1618.0,1646.0,462.0,217.0,316.0,1977.0,625.0,286.0,8.0,0.9684049638823196,17557.96840496388
Ghana,270.0,538.0,1214.0,0.0,1.0,1.0,456.0,,79.0,256.0,69.0,1027.0,46.0,44.0,,85.0,213.0,233.0,219.0,185.0,,,374.0,,404.0,522.0,536.0,559.0,660.0,705.0,619.0,1059.0,736.0,754.0,600.0,731.0,896.0,897.0,1045.0,0.7497188136098559,16033.74971881361
Afghanistan,53.0,,37.0,74.0,39.0,24.0,37.0,20.0,23.0,19.0,57.0,71.0,43.0,,81.0,121.0,975.0,,,221.0,383.0,,,,,,,3.0,131.0,51.0,951.0,168.0,698.0,2829.0,355.0,912.0,1481.0,1208.0,1618.0,1.5164766180067615,12684.516476618006
Nepal,485.0,880.0,766.0,888.0,883.0,377.0,359.0,193.0,547.0,276.0,308.0,155.0,240.0,112.0,104.0,114.0,241.0,440.0,305.0,349.0,556.0,514.0,632.0,,4.0,79.0,48.0,,35.0,,185.0,149.0,235.0,246.0,,,174.0,102.0,116.0,0.775585089289009,11097.77558508929
Iraq,14.0,19.0,,6.0,31.0,34.0,34.0,39.0,25.0,34.0,18.0,17.0,9.0,21.0,17.0,,,,,68.0,38.0,99.0,91.0,99.0,126.0,235.0,331.0,936.0,,284.0,372.0,360.0,495.0,1398.0,1370.0,828.0,1061.0,937.0,1045.0,1.3586988959858048,10492.358698895987
Ethiopia,14.0,,18.0,0.0,,16.0,,33.0,75.0,50.0,66.0,62.0,,57.0,,,,,,480.0,365.0,,293.0,235.0,,,,,140.0,456.0,210.0,704.0,738.0,649.0,711.0,816.0,2724.0,668.0,409.0,1.3965690959887047,9990.396569095989
Madagascar,42.0,61.0,136.0,200.0,131.0,556.0,490.0,728.0,6.0,212.0,227.0,10.0,,63.0,29.0,68.0,30.0,76.0,54.0,26.0,50.0,86.0,77.0,91.0,,,,,208.0,316.0,355.0,597.0,288.0,384.0,596.0,855.0,781.0,740.0,842.0,0.9953010370095265,9411.99530103701
Guinea,326.0,103.0,113.0,,75.0,51.0,,64.0,,54.0,28.0,27.0,161.0,166.0,,,518.0,332.0,245.0,287.0,272.0,280.0,289.0,,,,,,524.0,428.0,234.0,682.0,568.0,108.0,289.0,483.0,740.0,832.0,482.0,0.7430385907917549,8761.743038590792
Sri Lanka,,15.0,5.0,15.0,9.0,19.0,8.0,14.0,11.0,18.0,29.0,44.0,37.0,20.0,32.0,30.0,34.0,75.0,97.0,72.0,76.0,77.0,,66.0,9.0,196.0,231.0,188.0,183.0,295.0,219.0,258.0,502.0,481.0,585.0,721.0,795.0,949.0,1243.0,1.4507781474599633,7659.45077814746
China,,,,,426.0,492.0,,,,,1786.0,2112.0,,2761.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6773794080720706,7577.677379408073
Burkina Faso,206.0,105.0,1.0,0.0,96.0,27.0,1.0,3.0,74.0,7.0,11.0,13.0,9.0,35.0,4.0,16.0,4.0,12.0,,31.0,,,28.0,48.0,53.0,53.0,72.0,181.0,100.0,207.0,299.0,636.0,799.0,602.0,657.0,744.0,748.0,763.0,746.0,1.3855400394778437,7392.385540039478
